climate_zone,max_percent,u_fixed,u_oper,shgc_all,shgc_north
1,10,1.22,1.27,0.25,0.61
1,20,1.22,1.27,0.25,0.61
1,30,1.22,1.27,0.25,0.61
1,40,1.22,1.27,0.25,0.44
1,100,1.22,1.27,0.19,0.33
1,sky_2,1.98,,0.36,
1,sky_5,1.98,,0.19,
2,10,1.22,1.27,0.25,0.61
2,20,1.22,1.27,0.25,0.61
2,30,1.22,1.27,0.25,0.61
2,40,1.22,1.27,0.25,0.61
2,100,1.22,1.27,0.17,0.44
2,sky_2,1.98,,0.36,
2,sky_5,1.98,,0.19,
3,10,0.57,0.67,0.39,0.49
3,20,0.57,0.67,0.25,0.49
3,30,0.57,0.67,0.25,0.39
3,40,0.57,0.67,0.25,0.39
3,100,0.46,0.47,0.19,0.26
3,sky_2,1.17,,0.39,
3,sky_5,1.17,,0.19,
3C,10,1.22,1.27,0.61,0.82
3C,20,1.22,1.27,0.39,0.61
3C,30,1.22,1.27,0.39,0.61
3C,40,1.22,1.27,0.34,0.61
3C,100,1.22,1.27,0.2,0.3
3C,sky_2,1.98,,0.61,
3C,sky_5,1.98,,0.39,
4,10,0.57,0.67,0.39,0.49
4,20,0.57,0.67,0.39,0.49
4,30,0.57,0.67,0.39,0.49
4,40,0.57,0.67,0.39,0.49
4,100,0.46,0.47,0.25,0.36
4,sky_2,1.17,,0.49,
4,sky_5,1.17,,0.39,
5,10,0.57,0.67,0.49,0.49
5,20,0.57,0.67,0.39,0.49
5,30,0.57,0.67,0.39,0.49
5,40,0.57,0.67,0.39,0.49
5,100,0.46,0.47,0.26,0.36
5,sky_2,1.17,,0.49,
5,sky_5,1.17,,0.39,
6,10,0.57,0.67,0.49,0.49
6,20,0.57,0.67,0.39,0.49
6,30,0.57,0.67,0.39,0.49
6,40,0.57,0.67,0.39,0.49
6,100,0.46,0.47,0.26,0.49
6,sky_2,1.17,,0.49,
6,sky_5,1.17,,0.49,
7,10,0.57,0.67,0.49,0.64
7,20,0.57,0.67,0.49,0.64
7,30,0.57,0.67,0.49,0.64
7,40,0.57,0.67,0.49,0.64
7,100,0.46,0.47,0.36,0.64
7,sky_2,1.17,,0.68,
7,sky_5,1.17,,0.64,
8,10,0.46,0.47,0.45,0.45
8,20,0.46,0.47,0.45,0.45
8,30,0.46,0.47,0.45,0.45
8,40,0.46,0.47,0.45,0.45
8,100,0.35,0.39,0.45,0.45
8,sky_2,0.98,,0.45,
8,sky_5,0.98,,0.45,